r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.1118,0.963,0.15218496323752603,0.07865488404640476,0.17051073932869998,0.09991964354821292,0.9614941661112211,0.0038059035771391015,50,0.986126366532827,0.013873638692692567,50,0.998436309565131,3.9120230053781455
0.1118,0.964,0.15198877875279138,0.07535266487980855,0.1536541296015877,0.09868759247145562,0.9625213889830014,0.0038611440853473854,50,0.9864618548930671,0.013538142528769288,50,0.9984661711441924,3.9120230053781455
0.1118,0.965,0.14770105507356093,0.09779344080922536,0.15746058680614744,0.10229086160728064,0.9633889512770079,0.003953778087989467,50,0.9861073662870747,0.013892636264149097,50,0.9983305194580393,3.9120230053781455
0.1118,0.966,0.15424998142540863,0.08954723483889059,0.16926246065263936,0.10758396546843947,0.9647089837477669,0.003937909921009768,50,0.9860210638427716,0.01397893525404557,50,0.9986635442523467,3.9120230053781455
0.1118,0.967,0.15234764707674567,0.07147523294735861,0.1644213630894117,0.08967386051307251,0.9654891704009042,0.004367223296795136,50,0.9864971038339259,0.01350289902543436,50,0.9984376115831481,3.9120230053781455
0.1118,0.968,0.13946727558726074,0.08123752832071607,0.15130812855198447,0.09121972389883412,0.9666287985923837,0.004981125839508193,50,0.986279632910231,0.013720374010295612,50,0.9985834696202311,3.9120230053781455
0.1118,0.969,0.1401169404684081,0.061940092319455346,0.17189689905873398,0.09796095468500128,0.9680323783042978,0.00503571751249067,50,0.9863380365731095,0.013661963556675625,50,0.9990014223986562,3.9120230053781455
0.1118,0.97,0.14428212991546385,0.08625557047918234,0.16370857857115872,0.11114088240496167,0.9687962428215097,0.005334670038949441,50,0.9865895063597853,0.013410502172729459,50,0.9987590132180513,3.9120230053781455
0.1118,0.971,0.14641637379361797,0.08571488675395604,0.1655262913120763,0.08942621162935147,0.9695912688336331,0.005702902617687433,50,0.9865287925408083,0.013471212153857498,50,0.9985491955032267,3.9120230053781455
0.1118,0.972,0.16013562578910784,0.0865144985977453,0.15052022967760084,0.08607371782717795,0.9704429047665555,0.005716683609913743,50,0.9862899711999773,0.013710035095963143,50,0.9983980501713534,3.9120230053781455
0.1118,0.973,0.15068649216426094,0.07487454519631064,0.1600145847424222,0.0840958168545678,0.9710274708002063,0.005498897179858765,50,0.9864984900651409,0.013501511268050367,50,0.9979727346353611,3.9120230053781455
0.1118,0.974,0.13861092778959402,0.07655510700864815,0.1419511075550219,0.09113300029568257,0.9718989968030902,0.005785033525651726,50,0.9869110939415274,0.0130889095319057,50,0.99784291252884,3.9120230053781455
